Order,ID,Strain,Family,Sex,Timepoint,Pass,Weight,Dose,Inj. Time,Blood Time,Color,BEC,TIMEHOUR,
74,3.4,iHDID-1,IB504.F(2),F,60,A,21.3,0.34,02:28:00,03:28:00,White,3.18315,1,
75,53.1,HS/Npt,1534,M,60,A,25.2,0.4,02:30:00,03:30:00,Brown,2.07555,1,
76,37.3,iHDID-2,IB534B(3),M,60,A,28.6,0.45,02:32:00,03:32:00,Dilute Brown,2.79457,1,
77,9.2,iHDID-1,IB504.F,M,60,A,27.5,0.44,02:34:00,03:34:00,White,3.04008,1,
78,45.2,HS/Npt,1538,F,60,A,22.5,0.36,02:36:00,03:36:00,Black,1.8672,1,
79,35.2,iHDID-2,IB529B(3),M,60,A,26,0.41,02:38:00,03:38:00,Brown,2.93464,1,
80,51.2,HS/Npt,1527,M,60,A,26.1,0.41,02:40:00,03:40:00,White,3.24434,1,
81,5.2,iHDID-1,IB504.K,F,60,A,21.3,0.34,02:42:00,03:42:00,White,3.65097,1,
82,1.1,iHDID-1,IB504.E(2),F,60,A,13.6,0.21,02:44:00,03:44:00,White,3.29041,1,
83,54.3,HS/Npt,1538,M,60,A,30.6,0.48,02:46:00,03:46:00,Black,4.73457,1,
84,17.1,iHDID-1,IB504.D(2),M,60,A,24.8,0.4,02:48:00,03:48:00,White,2.78971,1,
85,56.2,HS/Npt,1513,M,60,A,30.3,0.48,02:50:00,03:50:00,Black,3.40361,1,
86,48.1,HS/Npt,1542,F,60,A,27.2,0.43,02:52:00,03:52:00,White,2.73678,1,
87,21.2,iHDID-2,IB558,F,60,A,23.6,0.37,02:54:00,03:54:00,Brown,4.24775,1,
88,30.2,iHDID-2,IB559,M,60,A,27.8,0.44,02:56:00,03:56:00,Black,3.28591,1,
89,15.1,iHDID-1,IB504.K,M,60,A,26.5,0.42,02:58:00,03:58:00,White,3.01111,1,
90,37.2,iHDID-2,IB534B(3),M,180,B,26.8,0.43,00:00:00,03:00:00,Dilute Brown,0.861556,3,
91,46.3,HS/Npt,1510,F,180,B,22.2,0.35,00:02:00,03:02:00,Black,0.109087,3,
92,45.1,HS/Npt,1538,F,180,B,24.8,0.4,00:04:00,03:04:00,Black,0.767876,3,
93,3.3,iHDID-1,IB504.F(2),F,180,B,21.6,0.34,00:06:00,03:06:00,White,1.49367,3,
94,30.1,iHDID-2,IB559,M,180,B,25.2,0.4,00:08:00,03:08:00,Black,1.28259,3,
95,54.2,HS/Npt,1538,M,180,B,32.4,0.51,00:10:00,03:10:00,Black,0.830566,3,
96,16.3,iHDID-1,IB504.F,M,180,B,26.5,0.42,00:12:00,03:12:00,White,0.948436,3,
97,56.1,HS/Npt,1513,M,180,B,27,0.43,00:14:00,03:14:00,Black,0.537456,3,
98,39.2,iHDID-2,IB552,M,180,B,29.5,0.47,00:16:00,03:16:00,Black,1.72655,3,
